team,name,position,height,weight,bday,years experience
IND,Monte Morris,PG,6-2,183,6/27/1995,8
IND,Andrew Nembhard,PG,6-4,191,1/16/2000,3
IND,Aaron Nesmith,SF,6-5,215,10/16/1999,5
IND,Taelon Peter,SG,6-3,185,2/27/2002,0
IND,Micah Potter,C,6-9,248,4/6/1998,4
IND,Jeremiah Robinson-Earl,PF,6-9,240,11/3/2000,4
IND,Ben Sheppard,SG,6-6,190,7/16/2001,2
IND,Pascal Siakam,PF,6-8,245,4/2/1994,9
IND,Jalen Slawson,SF,6-7,215,10/22/1999,1
IND,Ethan Thompson,SG,6-4,195,5/4/1999,0
IND,Obi Toppin,PF,6-9,220,3/4/1998,5
IND,Jarace Walker,PF,6-7,235,9/4/2003,2
IND,James Wiseman,C,6-11,240,3/31/2001,4
IND,Ivica Zubac,C,7-0,240,3/18/1997,9
LAC,Patrick Baldwin Jr.,SF,7-0,220,11/18/2002,3
LAC,Dalano Banton,PG,6-8,203,11/7/1999,4
LAC,Nicolas Batum,PF,6-7,230,12/14/1988,17
LAC,Bradley Beal,SG,6-4,207,6/28/1993,13
LAC,Bogdan Bogdanović,SG,6-5,225,8/18/1992,8
LAC,Kobe Brown,PF,6-7,250,1/1/2000,2
LAC,Cam Christie,SG,6-5,190,7/24/2005,1
LAC,John Collins,PF,6-9,226,9/23/1997,8
LAC,RayJ Dennis,PG,6-1,180,3/30/2001,1
LAC,Kris Dunn,PG,6-3,205,3/18/1994,9
LAC,Darius Garland,PG,6-1,192,1/26/2000,6
LAC,James Harden,PG,6-5,220,8/26/1989,16
LAC,Isaiah Jackson,C,6-8,205,1/10/2002,4
LAC,Derrick Jones Jr.,SF,6-6,210,2/15/1997,9
LAC,Yanic Konan Niederhäuser,C,6-11,242,3/14/2003,0
LAC,Kawhi Leonard,SF,6-6,225,6/29/1991,13
LAC,Brook Lopez,C,7-1,282,4/1/1988,17
LAC,Bennedict Mathurin,SF,6-5,210,6/19/2002,3
LAC,Jordan Miller,SF,6-5,194,1/23/2000,2
LAC,Norchad Omier,PF,6-5,248,8/28/2001,0
LAC,Chris Paul,PG,6-0,175,5/6/1985,20
LAC,Sean Pedulla,PG,6-1,195,10/10/2002,0
LAC,Kobe Sanders,SG,6-8,207,5/30/2002,0
LAC,Jahmyl Telfort,PF,6-7,225,4/30/2001,0
LAC,TyTy Washington Jr.,PG,6-3,195,11/15/2001,3
LAC,Ivica Zubac,C,7-0,240,3/18/1997,9
LAL,Deandre Ayton,C,7-0,252,7/23/1998,7
LAL,Kobe Bufkin,SG,6-4,195,9/21/2003,2
LAL,Luka Dončić,PG,6-8,230,2/28/1999,7
LAL,Rui Hachimura,PF,6-8,230,2/8/1998,6
LAL,Jaxson Hayes,C,7-0,220,5/23/2000,6
LAL,Bronny James,SG,6-2,210,10/6/2004,1
LAL,LeBron James,SF,6-9,250,12/30/1984,22
LAL,Luke Kennard,SG,6-5,206,6/24/1996,8
LAL,Maxi Kleber,PF,6-10,240,1/29/1992,8
